doi,articleType,citationStyle,citationStringAnnotated
10.2307/2177340,3,0,"<author><family>Ritchie</family>, <given>E.</given> and <family>Powell</family>, <given>Elmer Ellsworth</given></author> (<issued><year>1907</year></issued>) <title>â€œSpinoza and Religion.â€</title> <container-title>The Philosophical Review</container-title>, <volume>16</volume>(<issue>3</issue>), p. <page>339</page>. [online] Available from: <URL>http://dx.doi.org/10.2307/2177340</URL>"
10.1061/9780872620285.023,22,0,"<author><family>Hwang</family>, <given>Li-San</given> and <family>Divoky</family>, <given>David</given></author> (<issued><year>1970</year></issued>) <title>â€œBreaking Wave Setup and Decay on Gentle Slopes,â€</title> in <container-title>Coastal Engineering 1970</container-title>, <publisher>American Society of Civil Engineers</publisher>. [online] Available from: <URL>http://dx.doi.org/10.1061/9780872620285.023</URL>"
10.21236/ada194538,27,0,"<author><family>Malson</family>, <given>Bruce A.</given></author> (<issued><year>1988</year></issued>) <title>Tarnished Armor Erosion of Military Ethics</title>, <publisher>Defense Technical Information Center</publisher>. [online] Available from: <URL>http://dx.doi.org/10.21236/ada194538</URL>"
10.1007/jhep10(2018)200,3,0,"<author><family>Hoang</family>, <given>AndrÃ© H.</given>, <family>PlÃ¤tzer</family>, <given>Simon</given> and <family>Samitz</family>, <given>Daniel</given></author> (<issued><year>2018</year></issued>) <title>â€œOn the cutoff dependence of the quark mass parameter in angular ordered parton showers.â€</title> <container-title>Journal of High Energy Physics</container-title>, <volume>2018</volume>(<issue>10</issue>). [online] Available from: <URL>http://dx.doi.org/10.1007/jhep10(2018)200</URL>"
10.1016/b978-1-4831-9648-0.50005-5,7,0,"Anon (<issued><year>1962</year></issued>) <title>â€œACKNOWLEDGMENTS,â€</title> in <container-title>Cerebral Sphingolipidoses</container-title>, <publisher>Elsevier</publisher>, p. <page>xiii</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/b978-1-4831-9648-0.50005-5</URL>"
10.1016/0031-9384(83)90101-4,3,0,"<author><family>Pomerantz</family>, <given>Steven M.</given>, <family>Nunez</family>, <given>Antonio A.</given> and <family>Jay Bean</family>, <given>N.</given></author> (<issued><year>1983</year></issued>) <title>â€œFemale behavior is affected by male ultrasonic vocalizations in house mice.â€</title> <container-title>Physiology & Behavior</container-title>, <volume>31</volume>(<issue>1</issue>), pp. <page>91â€“96</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/0031-9384(83)90101-4</URL>"
10.1021/jo01084a012,3,0,"<author><family>BARONE</family>, <given>JOHN A.</given>, <family>PETERS</family>, <given>EARL</given> and <family>TIECKELMANN</family>, <given>HOWARD</given></author> (<issued><year>1959</year></issued>) <title>â€œ2-Trifluoromethylpyrimidines1.â€</title> <container-title>The Journal of Organic Chemistry</container-title>, <volume>24</volume>(<issue>2</issue>), pp. <page>198â€“200</page>. [online] Available from: <URL>http://dx.doi.org/10.1021/jo01084a012</URL>"
10.2523/98970-ms,22,0,"<author><family>Benge</family>, <given>Glen</given>, <family>Darby</family>, <given>John</given>, <family>Peroyea</family>, <given>Miles</given>, <family>Aguilar</family>, <given>Tracey</given>, et al.</author> (<issued><year>2006</year></issued>) <title>â€œDeep Gas-Well Cementation: A Review of Risks and Design Basis for Use of a Liquid Cement Premix for Large Offshore Cementing Operations,â€</title> in <container-title> Proceedings of IADC/SPE Drilling Conference</container-title>, <publisher>Society of Petroleum Engineers</publisher>. [online] Available from: <URL>http://dx.doi.org/10.2523/98970-ms</URL>"
10.1016/s0889-5406(94)70061-3,3,0,"<author><family>Katona</family>, <given>Thomas R.</given></author> (<issued><year>1994</year></issued>) <title>â€œThe effects of load location and misalignment on shear/peel testing of direct bonded orthodontic bracketsâ€”A finite element model.â€</title> <container-title>American Journal of Orthodontics and Dentofacial Orthopedics</container-title>, <volume>106</volume>(<issue>4</issue>), pp. <page>395â€“402</page>. [online] Available from: <URL>http://dx.doi.org/10.1016/s0889-5406(94)70061-3</URL>"
10.4135/9781412952415.n267,36,0,Anon (n.d.) <title>â€œFederal Law Enforcement Training Center.â€</title> <container-title>Encyclopedia of Law Enforcement</container-title>. [online] Available from: <URL>http://dx.doi.org/10.4135/9781412952415.n267</URL>
10.1297/cpe.2.supple2_85,3,0,"<author><family>Asakura</family>, <given>Yumi</given>, <family>Ishikawa</family>, <given>Mika</given>, <family>Tachibana</family>, <given>Katsuhiko</given>, <family>Maesaka</family>, <given>Hatae</given>, et al.</author> (<issued><year>1993</year></issued>) <title>â€œIncomplete Growth Hormone Secretion with Pituitary Stalk Transection and Syringomyelia.â€</title> <container-title>Clinical Pediatric Endocrinology</container-title>, <volume>2</volume>(<issue>Supple2</issue>), pp. <page>85â€“88</page>. [online] Available from: <URL>http://dx.doi.org/10.1297/cpe.2.supple2_85</URL>"
10.1007/s00501-010-0614-3,3,0,"<author><family>Li</family>, <given>Jiehua</given>, <family>Zarif</family>, <given>Muhammad</given> and <family>Schumacher</family>, <given>Peter</given></author> (<issued><year>2010</year></issued>) <title>â€œTEM Investigation of a Novel Fe Containing Phase in High Purity Al-Si-Fe Alloys.â€</title> <container-title>BHM Berg- und HÃ¼ttenmÃ¤nnische Monatshefte</container-title>, <volume>155</volume>(<issue>11</issue>), pp. <page>499â€“505</page>. [online] Available from: <URL>http://dx.doi.org/10.1007/s00501-010-0614-3</URL>"
10.7748/nop2012.03.24.2.16.c8953,3,0,"<author><family>Waller</family>, <given>Sarah</given></author> (<issued><year>2012</year></issued>) <title>â€œRedesigning wards to support people with dementia in hospital.â€</title> <container-title>Nursing Older People</container-title>, <volume>24</volume>(<issue>2</issue>), pp. <page>16â€“21</page>. [online] Available from: <URL>http://dx.doi.org/10.7748/nop2012.03.24.2.16.c8953</URL>"
10.1080/00222348.2012.676355,3,0,"<author><family>Zhou</family>, <given>Zhihua</given>, <family>Yang</family>, <given>Zhongmin</given>, <family>Kong</family>, <given>Lingchen</given>, <family>Liu</family>, <given>Lihua</given>, et al.</author> (<issued><year>2012</year></issued>) <title>â€œPreparation and Characterization of Hyaluronic Acid Hydrogel Blends with Gelatin.â€</title> <container-title>Journal of Macromolecular Science, Part B</container-title>, <volume>51</volume>(<issue>12</issue>), pp. <page>2392â€“2400</page>. [online] Available from: <URL>http://dx.doi.org/10.1080/00222348.2012.676355</URL>"
10.1136/bjsports-2017-098059,3,0,"<author><family>Casartelli</family>, <given>Nicola C</given>, <family>Bizzini</family>, <given>Mario</given>, <family>Kemp</family>, <given>Joanne</given>, <family>Naal</family>, <given>Florian D</given>, et al.</author> (<issued><year>2017</year></issued>) <title>â€œWhat treatment options exist for patients with femoroacetabular impingement syndrome but without surgical indication?â€</title> <container-title>British Journal of Sports Medicine</container-title>, <volume>52</volume>(<issue>9</issue>), pp. <page>552â€“553</page>. [online] Available from: <URL>http://dx.doi.org/10.1136/bjsports-2017-098059</URL>"
10.1620/tjem.210.21,3,0,"<author><family>Saito</family>, <given>Reiko</given>, <family>Li</family>, <given>Danjuan</given>, <family>Shimomura</family>, <given>Chieko</given>, <family>Masaki</family>, <given>Hironori</given>, et al.</author> (<issued><year>2006</year></issued>) <title>â€œAn Off-Seasonal Amantadine-Resistant H3N2 Influenza Outbreak in Japan.â€</title> <container-title>The Tohoku Journal of Experimental Medicine</container-title>, <volume>210</volume>(<issue>1</issue>), pp. <page>21â€“27</page>. [online] Available from: <URL>http://dx.doi.org/10.1620/tjem.210.21</URL>"
10.1080/09674845.2015.11666794,3,0,"<author><family>Muhammad</family>, <given>S.</given></author> (<issued><year>2015</year></issued>) <title>â€œRenal point-of-care testing: collaboration between biomedical scientists and community pharmacists.â€</title> <container-title>British Journal of Biomedical Science</container-title>, <volume>72</volume>(<issue>1</issue>), pp. <page>42â€“46</page>. [online] Available from: <URL>http://dx.doi.org/10.1080/09674845.2015.11666794</URL>"
10.5958/0976-4666.2015.00066.2,3,0,"<author><family>Harika</family>, <given>K.</given>, <family>Chiranjeevi</family>, <given>Ch.</given> and <family>Reddy</family>, <given>S.M.</given></author> (<issued><year>2015</year></issued>) <title>â€œIncome Inequalities of SHG Households: An Empirical Analysis.â€</title> <container-title>Economic Affairs</container-title>, <volume>60</volume>(<issue>3</issue>), p. <page>467</page>. [online] Available from: <URL>http://dx.doi.org/10.5958/0976-4666.2015.00066.2</URL>"
10.3109/00048679209068311,3,0,"<author><family>Norman</family>, <given>Trevor R.</given>, <family>Judd</family>, <given>Fiona K.</given> and <family>Burrows</family>, <given>Graham D.</given></author> (<issued><year>1992</year></issued>) <title>â€œNew Pharmacological Approaches to the Management of Depression: From Theory to Clinical Practice.â€</title> <container-title>Australian & New Zealand Journal of Psychiatry</container-title>, <volume>26</volume>(<issue>1</issue>), pp. <page>73â€“81</page>. [online] Available from: <URL>http://dx.doi.org/10.3109/00048679209068311</URL>"
10.1136/bmj.1.5117.300-a,3,0,"<author><family>Shucksmith</family>, <given>H. S.</given></author> (<issued><year>1959</year></issued>) <title>â€œSurplus Beds and Nurses.â€</title> <container-title>BMJ</container-title>, <volume>1</volume>(<issue>5117</issue>), pp. <page>300â€“301</page>. [online] Available from: <URL>http://dx.doi.org/10.1136/bmj.1.5117.300-a</URL>"
